carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CA08-TITLE","original title plate","/packages/ca08","native 4:5; no crop","Fashion owes craftspeople more than romantic visibility: lawful and timely pay, safe conditions, credible credit, worker voice, remedy, preserved knowledge, and limits on extraction—specified for the actual relationship and jurisdiction.","RN Collins","Title plate for What Fashion Owes Its Craftspeople.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-81630","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/81630","full object with generous field","Materials such as silk, glass, and metallic thread make skilled transformation visible while the museum record still names only the house as maker.","Gift of Agnes de Mille, 1977","House of Worth ball gown from about 1887, with a structured pale silk silhouette and elaborate surface ornament.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CA08-DIAGRAM-1","original evidence diagram","/packages/ca08","native 4:5 diagram; preserve labels and evidence footer","01 · NAME — Can the worker choose to be credited?. Build role-level credits with consent: cutter, embroiderer, weaver, dyer, machinist, finisher, presser, sample maker, repairer, and others as locally accurate. Protect people where naming creates risk.","Concept and editorial design: RN Collins","Diagram mapping can the worker choose to be credited? within What Fashion Owes Its Craftspeople.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CA08-DIAGRAM-2","original evidence diagram","/packages/ca08","native 4:5 diagram; preserve labels and evidence footer","02 · PAY — What commercial decisions reach the workroom?. Trace price, lead time, revisions, cancellations, overtime, payment schedule, subcontracting, and remedy. Purchasing decisions upstream can shape downstream labor outcomes; verify the actual chain.","Concept and editorial design: RN Collins","Diagram mapping what commercial decisions reach the workroom? within What Fashion Owes Its Craftspeople.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CA08-DIAGRAM-3","original evidence diagram","/packages/ca08","native 4:5 diagram; preserve labels and evidence footer","03 · VOICE — Who can refuse, correct, and report harm?. Document worker-representation and grievance routes, anti-retaliation protections, safety escalation, correction of public credits, and who controls the response. A feedback form without remedy is not voice.","Concept and editorial design: RN Collins","Diagram mapping who can refuse, correct, and report harm? within What Fashion Owes Its Craftspeople.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CA08-DIAGRAM-4","original evidence diagram","/packages/ca08","native 4:5 diagram; preserve labels and evidence footer","04 · KNOWLEDGE — What does preservation return?. With consent, preserve process narration, terminology, samples, and contributor authority. Do not convert community knowledge into proprietary house content without permission, attribution, benefit, and cultural review.","Concept and editorial design: RN Collins","Diagram mapping what does preservation return? within What Fashion Owes Its Craftspeople.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S10","canonical public record card","https://nmaahc.si.edu/object/nmaahc_2016.129.3.1a-.2a","typographic record excerpt; do not reproduce protected imagery","Joyce A. Bailey Oral History Interview is retained as evidence, education, reporting or rights context.","National Museum of African American History and Culture","Source card for Joyce A. Bailey Oral History Interview, credited to National Museum of African American History and Culture.","Usage Conditions Apply; permission is required for media reuse.","LINK_ONLY"
"A","8","action","S72","canonical public record card","https://archiveondemand.fitnyc.edu/item/136318","typographic record excerpt; do not reproduce protected imagery","Interview of Christine Pupillo, Leonard Trattner, and Harry Greenberg of the Patternmaking Department is retained as evidence, education, reporting or rights context.","Fashion Institute of Technology Special Collections and College Archives","Source card for Interview of Christine Pupillo, Leonard Trattner, and Harry Greenberg of the Patternmaking Department, credited to Fashion Institute of Technology Special Collections and College Archives.","In Copyright; FIT prohibits copying, display, or upload without permission except reviewed fair use. Link to the item and do not embed its media.","LINK_ONLY"
"B","1","provocation","CA08-TITLE","original title plate","/packages/ca08","native 4:5; no crop","Fashion owes craftspeople more than romantic visibility: lawful and timely pay, safe conditions, credible credit, worker voice, remedy, preserved knowledge, and limits on extraction—specified for the actual relationship and jurisdiction.","RN Collins","Title plate for What Fashion Owes Its Craftspeople.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CA08-DIAGRAM-3","original evidence diagram","/packages/ca08","native 4:5 diagram; preserve labels and evidence footer","03 · VOICE — Who can refuse, correct, and report harm?. Document worker-representation and grievance routes, anti-retaliation protections, safety escalation, correction of public credits, and who controls the response. A feedback form without remedy is not voice.","Concept and editorial design: RN Collins","Diagram mapping who can refuse, correct, and report harm? within What Fashion Owes Its Craftspeople.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
