carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CN05-TITLE","original title plate","/packages/cn05","native 4:5; no crop","Foundation, museum, company, and school are different stewardship architectures; none can simultaneously maximize control, access, interpretation, teaching, commerce, and permanence.","RN Collins","Title plate for Foundation, Museum, Company, or School?.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-159187","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/159187","full object with generous field","The record separates the material dress, House of Worth attribution, Charles Frederick Worth design credit, accession, and the museum’s present custody.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of the Princess Viggo in accordance with the wishes of the Misses Hewitt, 1931","Ivory and blue silk evening dress with a fitted bodice, deep neckline, and long trained skirt, designed by Charles Frederick Worth around 1882.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CN05-DIAGRAM-1","original evidence diagram","/packages/cn05","native 4:5 diagram; preserve labels and evidence footer","01 · PURPOSE — What must continue?. Separate object care, digital preservation, research, public access, teaching, grants, commercial licensing, authentication, publication, and correction into explicit functions.","Concept and editorial design: RN Collins","Diagram mapping what must continue? within Foundation, Museum, Company, or School?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CN05-DIAGRAM-2","original evidence diagram","/packages/cn05","native 4:5 diagram; preserve labels and evidence footer","02 · ASSET — What would each steward receive?. Inventory title, custody, copyright, marks, contracts, data, restrictions, donor terms, cultural authority, liabilities, funding, and operational dependencies.","Concept and editorial design: RN Collins","Diagram mapping what would each steward receive? within Foundation, Museum, Company, or School?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CN05-DIAGRAM-3","original evidence diagram","/packages/cn05","native 4:5 diagram; preserve labels and evidence footer","03 · GOVERN — Who decides and who can challenge?. Design board or leadership composition, expertise, conflicts, terms, removal, founder and community voice, worker or contributor input, research independence, appeals, and review.","Concept and editorial design: RN Collins","Diagram mapping who decides and who can challenge? within Foundation, Museum, Company, or School?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CN05-DIAGRAM-4","original evidence diagram","/packages/cn05","native 4:5 diagram; preserve labels and evidence footer","04 · FUND — Can care survive attention cycles?. Model conservation, storage, digitization, staffing, insurance, systems, access, education, rights clearance, and contingency costs without assuming sales or donations will cover them.","Concept and editorial design: RN Collins","Diagram mapping can care survive attention cycles? within Foundation, Museum, Company, or School?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S21","canonical public record card","https://artsandculture.google.com/partner/fondazione-gianfranco-ferre","typographic record excerpt; do not reproduce protected imagery","Gianfranco Ferré Research Center is retained as evidence, education, reporting or rights context.","Politecnico di Milano / Google Arts & Culture","Source card for Gianfranco Ferré Research Center, credited to Politecnico di Milano / Google Arts & Culture.","Use an official embed only if offered; otherwise link only.","LINK_ONLY"
"A","8","action","S39","canonical public record card","https://www.archives.gov/records-mgmt/policy/universalermrequirements","typographic record excerpt; do not reproduce protected imagery","Universal Electronic Records Management Requirements, Version 3 is retained as evidence, education, reporting or rights context.","U.S. National Archives and Records Administration","Source card for Universal Electronic Records Management Requirements, Version 3, credited to U.S. National Archives and Records Administration.","Government resource; link/download for education and do not imply endorsement.","LINK_ONLY"
"B","1","provocation","CN05-TITLE","original title plate","/packages/cn05","native 4:5; no crop","Foundation, museum, company, and school are different stewardship architectures; none can simultaneously maximize control, access, interpretation, teaching, commerce, and permanence.","RN Collins","Title plate for Foundation, Museum, Company, or School?.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CN05-DIAGRAM-3","original evidence diagram","/packages/cn05","native 4:5 diagram; preserve labels and evidence footer","03 · GOVERN — Who decides and who can challenge?. Design board or leadership composition, expertise, conflicts, terms, removal, founder and community voice, worker or contributor input, research independence, appeals, and review.","Concept and editorial design: RN Collins","Diagram mapping who decides and who can challenge? within Foundation, Museum, Company, or School?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","CN05-DIAGRAM-4","original evidence diagram","/packages/cn05","native 4:5 diagram; preserve labels and evidence footer","04 · FUND — Can care survive attention cycles?. Model conservation, storage, digitization, staffing, insurance, systems, access, education, rights clearance, and contingency costs without assuming sales or donations will cover them.","Concept and editorial design: RN Collins","Diagram mapping can care survive attention cycles? within Foundation, Museum, Company, or School?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S21","canonical public record card","https://artsandculture.google.com/partner/fondazione-gianfranco-ferre","typographic record excerpt; do not reproduce protected imagery","Gianfranco Ferré Research Center is retained as evidence, education, reporting or rights context.","Politecnico di Milano / Google Arts & Culture","Source card for Gianfranco Ferré Research Center, credited to Politecnico di Milano / Google Arts & Culture.","Use an official embed only if offered; otherwise link only.","LINK_ONLY"
"B","5","case","S39","canonical public record card","https://www.archives.gov/records-mgmt/policy/universalermrequirements","typographic record excerpt; do not reproduce protected imagery","Universal Electronic Records Management Requirements, Version 3 is retained as evidence, education, reporting or rights context.","U.S. National Archives and Records Administration","Source card for Universal Electronic Records Management Requirements, Version 3, credited to U.S. National Archives and Records Administration.","Government resource; link/download for education and do not imply endorsement.","LINK_ONLY"
"B","6","decision","CN05-COUNTERPOINT","original counterpoint plate","/packages/cn05#counterpoint","native 4:5; no crop","A prestigious steward can still close access, underfund care, commercialize memory, or erase communities. Founder control can protect intent or block necessary reinterpretation. The answer is accountable function and resources, not institutional aura.","RN Collins","Counterpoint card for Foundation, Museum, Company, or School?.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","7","tool","CN05-FIELD-10","original fieldwork plate","/tools#cn05-tool","native 4:5; no crop","Map each asset and restriction to possible stewards.","RN Collins","Fieldwork prompt for Foundation, Museum, Company, or School?.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","8","source trail","OBJ-159187","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/159187","full object with generous field","The record separates the material dress, House of Worth attribution, Charles Frederick Worth design credit, accession, and the museum’s present custody.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of the Princess Viggo in accordance with the wishes of the Misses Hewitt, 1931","Ivory and blue silk evening dress with a fitted bodice, deep neckline, and long trained skirt, designed by Charles Frederick Worth around 1882.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
