carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CO11-TITLE","original title plate","/packages/co11","native 4:5; no crop","A company sale and an archive transfer can be designed as separate but coordinated transactions; what may or should be separated depends on ownership, contracts, duties, taxes, privacy, culture, and jurisdiction.","RN Collins","Title plate for Sell the Company, Keep the Archive?.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-159187","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/159187","full object with generous field","The record separates the material dress, House of Worth attribution, Charles Frederick Worth design credit, accession, and the museum’s present custody.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of the Princess Viggo in accordance with the wishes of the Misses Hewitt, 1931","Ivory and blue silk evening dress with a fitted bodice, deep neckline, and long trained skirt, designed by Charles Frederick Worth around 1882.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CO11-DIAGRAM-1","original evidence diagram","/packages/co11","native 4:5 diagram; preserve labels and evidence footer","01 · PERIMETER — What exactly is in the deal?. Inventory entity interests and each asset class with current owner, custodian, governing record, restriction, liability, and desired treatment. Do not infer asset ownership from brand presentation.","Concept and editorial design: RN Collins","Diagram mapping what exactly is in the deal? within Sell the Company, Keep the Archive?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CO11-DIAGRAM-2","original evidence diagram","/packages/co11","native 4:5 diagram; preserve labels and evidence footer","02 · TRANSFER — What mechanism moves each asset?. Distinguish equity sale, asset sale, trademark assignment, copyright transfer, license, loan, deposit, donation, data transfer, and services or transition arrangement.","Concept and editorial design: RN Collins","Diagram mapping what mechanism moves each asset? within Sell the Company, Keep the Archive?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CO11-DIAGRAM-3","original evidence diagram","/packages/co11","native 4:5 diagram; preserve labels and evidence footer","03 · ARCHIVE — What must remain connected?. Map originals and copies, provenance, restrictions, operational dependencies, privacy, legal hold, contributor access, research terms, correction, and future interpretation.","Concept and editorial design: RN Collins","Diagram mapping what must remain connected? within Sell the Company, Keep the Archive?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CO11-DIAGRAM-4","original evidence diagram","/packages/co11","native 4:5 diagram; preserve labels and evidence footer","04 · AFTER — Who can use and explain the history?. Define access, digitization, exhibition, licensing, publication, brand reference, authentication, enforcement cooperation, funding, custody, and dispute mechanisms.","Concept and editorial design: RN Collins","Diagram mapping who can use and explain the history? within Sell the Company, Keep the Archive?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S35","canonical public record card","https://www.sec.gov/Archives/edgar/data/1116132/000111613226000018/tpr-20260627.htm","typographic record excerpt; do not reproduce protected imagery","Tapestry, Inc. Form 10-K for year ended June 27, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Tapestry, Inc. Form 10-K for year ended June 27, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and transform facts into original diagrams.","QUOTE_LINK"
"B","1","provocation","CO11-TITLE","original title plate","/packages/co11","native 4:5; no crop","A company sale and an archive transfer can be designed as separate but coordinated transactions; what may or should be separated depends on ownership, contracts, duties, taxes, privacy, culture, and jurisdiction.","RN Collins","Title plate for Sell the Company, Keep the Archive?.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CO11-DIAGRAM-3","original evidence diagram","/packages/co11","native 4:5 diagram; preserve labels and evidence footer","03 · ARCHIVE — What must remain connected?. Map originals and copies, provenance, restrictions, operational dependencies, privacy, legal hold, contributor access, research terms, correction, and future interpretation.","Concept and editorial design: RN Collins","Diagram mapping what must remain connected? within Sell the Company, Keep the Archive?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
