carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","B10-TITLE","original title plate","/packages/b10","native 4:5; no crop","A personal brand makes a person recognizable. An institution makes their judgment, relationships, records, rights, and work capable of operating beyond constant personal performance.","RN Collins","Title plate for A Personal Brand Is Not an Institution.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-81112","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/81112","full object with generous field","The house is visible as both maker attribution and an enduring cataloguing unit.","Gift of Mrs. Philip K. Rhinelander, 1946","Elaborately trimmed silk ball gown by the House of Worth, dated around 1872.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","B10-DIAGRAM-1","original evidence diagram","/packages/b10","native 4:5 diagram; preserve labels and evidence footer","01 · SIGNAL — What does the public recognize?. Identify the repeated promise, visual language, subject, and point of view that make the person legible. These signals matter, but they are evidence of recognition—not proof that the work can be produced, governed, or continued.","Concept and editorial design: RN Collins","Diagram mapping what does the public recognize? within A Personal Brand Is Not an Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","B10-DIAGRAM-2","original evidence diagram","/packages/b10","native 4:5 diagram; preserve labels and evidence footer","02 · SYSTEM — What repeats without performance?. Map how research becomes a brief, how decisions are approved, how work is produced, and how quality is reviewed. A system must be inspectable enough to improve and flexible enough to accommodate judgment.","Concept and editorial design: RN Collins","Diagram mapping what repeats without performance? within A Personal Brand Is Not an Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","B10-DIAGRAM-3","original evidence diagram","/packages/b10","native 4:5 diagram; preserve labels and evidence footer","03 · ASSET — What remains under accountable control?. Separate reputation from the name, entity, marks, domains, mailing list, contracts, files, samples, and archive. The public may perceive one identity while ownership and access are fragmented across many records.","Concept and editorial design: RN Collins","Diagram mapping what remains under accountable control? within A Personal Brand Is Not an Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","B10-DIAGRAM-4","original evidence diagram","/packages/b10","native 4:5 diagram; preserve labels and evidence footer","04 · ABSENCE — What happens when the founder is offline?. Run a seventy-two-hour absence test. Can collaborators find current files, communicate with clients, fulfill obligations, protect accounts, and identify who may decide? The gaps reveal where a brand still depends on continuous personal availability.","Concept and editorial design: RN Collins","Diagram mapping what happens when the founder is offline? within A Personal Brand Is Not an Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S11","canonical public record card","https://archiveondemand.fitnyc.edu/item/136259","typographic record excerpt; do not reproduce protected imagery","Project of the Fashion Industries Oral History Series: Bonnie Cashin 1982 is retained as evidence, education, reporting or rights context.","FIT Special Collections","Source card for Project of the Fashion Industries Oral History Series: Bonnie Cashin 1982, credited to FIT Special Collections.","In Copyright; copying, display, or upload requires permission except reviewed fair use.","LINK_ONLY"
"B","1","provocation","B10-TITLE","original title plate","/packages/b10","native 4:5; no crop","A personal brand makes a person recognizable. An institution makes their judgment, relationships, records, rights, and work capable of operating beyond constant personal performance.","RN Collins","Title plate for A Personal Brand Is Not an Institution.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","B10-DIAGRAM-3","original evidence diagram","/packages/b10","native 4:5 diagram; preserve labels and evidence footer","03 · ASSET — What remains under accountable control?. Separate reputation from the name, entity, marks, domains, mailing list, contracts, files, samples, and archive. The public may perceive one identity while ownership and access are fragmented across many records.","Concept and editorial design: RN Collins","Diagram mapping what remains under accountable control? within A Personal Brand Is Not an Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
